City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,vaini,TO,-21.2,-175.2,73.4,94,90,10.29,overcast clouds
1,lompoc,US,34.64,-120.46,60.8,77,90,9.17,overcast clouds
2,butaritari,KI,3.07,172.79,81.54,69,42,7.36,scattered clouds
3,ilulissat,GL,69.22,-51.1,17.6,52,100,4.7,overcast clouds
4,yumen,CN,40.28,97.2,41.4,53,30,15.17,scattered clouds
5,gangapur,IN,26.48,76.72,79.9,18,0,2.13,clear sky
6,san policarpo,PH,12.18,125.51,82.89,80,94,12.3,light rain
7,punta arenas,CL,-53.15,-70.92,44.6,87,75,2.24,broken clouds
8,uarini,BR,-2.99,-65.11,74.07,89,67,1.34,broken clouds
9,namibe,AO,-15.2,12.15,66.45,85,30,6.29,scattered clouds
10,kavieng,PG,-2.57,150.8,79.41,85,100,12.24,light rain
11,sobolevo,RU,54.43,31.9,40.48,93,21,5.75,few clouds
12,hasaki,JP,35.73,140.83,73.0,52,40,3.36,scattered clouds
13,abu dhabi,AE,24.47,54.37,77.0,47,0,5.82,clear sky
14,chuy,UY,-33.7,-53.46,64.6,94,100,4.45,overcast clouds
15,labrea,BR,-7.26,-64.8,73.29,95,36,1.03,scattered clouds
16,albany,US,42.6,-73.97,41.0,58,28,2.53,scattered clouds
17,cueramaro,MX,20.62,-101.72,71.6,35,5,5.82,clear sky
18,cap malheureux,MU,-19.98,57.61,73.99,75,50,10.0,scattered clouds
19,lorengau,PG,-2.02,147.27,84.4,75,100,9.19,moderate rain
20,richards bay,ZA,-28.78,32.04,69.17,81,91,7.9,overcast clouds
21,clyde river,CA,70.47,-68.59,14.0,78,90,5.82,overcast clouds
22,bambous virieux,MU,-20.34,57.76,73.99,73,75,14.99,broken clouds
23,ushuaia,AR,-54.8,-68.3,42.8,87,0,11.41,clear sky
24,rikitea,PF,-23.12,-134.97,73.51,82,100,20.31,light rain
25,yerbogachen,RU,61.28,108.01,24.3,92,51,5.88,broken clouds
26,hobart,AU,-42.88,147.33,62.01,47,75,12.75,broken clouds
27,kapaa,US,22.08,-159.32,82.4,69,40,6.93,moderate rain
28,maroua,CM,10.59,14.32,77.72,27,76,6.38,broken clouds
29,helsinge,DK,56.02,12.2,50.0,89,100,1.99,light rain
30,porto walter,BR,-8.27,-72.74,79.38,70,93,2.37,overcast clouds
31,skopelos,GR,39.12,23.72,59.0,58,0,5.99,clear sky
32,pangody,RU,65.85,74.49,8.85,95,53,11.88,broken clouds
33,tuktoyaktuk,CA,69.45,-133.04,15.8,92,75,16.11,broken clouds
34,mar del plata,AR,-38.0,-57.56,60.8,100,75,22.79,broken clouds
35,faanui,PF,-16.48,-151.75,79.48,75,12,6.91,moderate rain
36,yellowknife,CA,62.46,-114.35,25.0,73,90,6.93,light snow
37,bathsheba,BB,13.22,-59.52,80.6,78,40,13.87,scattered clouds
38,samorin,SK,48.03,17.31,52.0,93,90,10.29,overcast clouds
39,lusambo,CD,-4.97,23.45,70.81,96,100,2.95,overcast clouds
40,atuona,PF,-9.8,-139.03,79.05,74,0,19.8,clear sky
41,ripoll,ES,42.2,2.19,48.0,85,100,2.24,overcast clouds
42,ponta do sol,PT,32.67,-17.1,66.2,63,20,4.7,few clouds
43,georgetown,MY,5.41,100.34,80.6,78,20,5.82,light rain
44,watsa,CD,3.04,29.54,63.43,100,98,2.55,overcast clouds
45,nikolskoye,RU,59.7,30.79,42.8,93,90,8.95,overcast clouds
46,jamestown,US,42.1,-79.24,45.0,70,90,9.17,overcast clouds
47,cidreira,BR,-30.18,-50.21,69.67,87,90,25.26,overcast clouds
48,linguere,SN,15.4,-15.12,82.78,15,0,7.43,clear sky
49,tres barras,BR,-26.11,-50.32,60.01,98,65,2.35,broken clouds
50,pizarro,CO,4.95,-77.37,77.02,87,100,1.34,moderate rain
51,hambantota,LK,6.12,81.12,84.15,63,22,7.9,few clouds
52,chardara,KZ,41.25,67.97,52.92,46,40,4.79,scattered clouds
53,yulara,AU,-25.24,130.99,73.4,20,0,16.11,clear sky
54,avarua,CK,-21.21,-159.78,75.2,69,81,20.8,broken clouds
55,paamiut,GL,61.99,-49.67,35.53,89,100,10.89,overcast clouds
56,taoudenni,ML,22.68,-3.98,82.08,16,48,7.27,scattered clouds
57,teknaf,BD,20.86,92.31,83.79,75,8,3.62,clear sky
58,salinas,US,36.68,-121.66,59.0,77,1,11.41,clear sky
59,buala,SB,-8.14,159.59,83.64,74,89,2.35,moderate rain
60,helong,CN,42.54,129.0,59.25,35,0,0.98,clear sky
61,qaanaaq,GL,77.48,-69.36,9.5,75,92,6.58,overcast clouds
62,new norfolk,AU,-42.78,147.06,62.01,51,0,1.99,clear sky
63,anton lizardo,MX,19.05,-95.98,80.01,83,5,5.99,clear sky
64,arraial do cabo,BR,-22.97,-42.03,72.03,85,98,6.46,overcast clouds
65,itarema,BR,-2.92,-39.92,79.45,81,0,15.48,clear sky
66,cape town,ZA,-33.93,18.42,61.0,77,0,11.41,clear sky
67,tamala,RU,52.54,43.25,39.31,91,4,7.16,clear sky
68,naze,JP,28.37,129.48,75.2,57,75,11.41,broken clouds
69,snasa,NO,64.25,12.38,36.0,84,2,5.28,clear sky
70,bubaque,GW,11.28,-15.83,83.12,79,0,7.61,clear sky
71,mataura,NZ,-46.19,168.86,55.99,53,74,5.01,broken clouds
72,port elizabeth,ZA,-33.92,25.57,62.6,100,75,12.75,broken clouds
73,hithadhoo,MV,-0.6,73.08,83.71,66,6,7.0,clear sky
74,cherskiy,RU,68.75,161.3,16.18,96,100,2.57,overcast clouds
75,sao filipe,CV,14.9,-24.5,81.52,67,100,12.1,overcast clouds
76,east london,ZA,-33.02,27.91,65.48,75,96,5.53,overcast clouds
77,hermanus,ZA,-34.42,19.23,61.0,87,94,1.99,overcast clouds
78,yenagoa,NG,4.92,6.26,74.75,93,100,1.34,overcast clouds
79,puerto ayora,EC,-0.74,-90.35,68.0,84,49,5.01,scattered clouds
80,laguna,US,38.42,-121.42,64.99,14,1,20.8,clear sky
81,anadyr,RU,64.75,177.48,23.0,92,75,8.95,mist
82,nantucket,US,41.28,-70.1,50.0,69,90,10.29,overcast clouds
83,ladario,BR,-19.0,-57.6,78.42,73,73,2.01,broken clouds
84,kavaratti,IN,10.57,72.64,81.54,73,71,1.41,broken clouds
85,dikson,RU,73.51,80.55,20.8,98,100,8.84,light snow
86,bluff,NZ,-46.6,168.33,55.99,53,28,5.01,scattered clouds
87,chanasma,IN,23.72,72.12,80.06,42,0,3.22,clear sky
88,raudeberg,NO,61.99,5.14,46.99,86,99,22.86,overcast clouds
89,nanortalik,GL,60.14,-45.24,34.16,91,100,9.24,light rain
90,provideniya,RU,64.38,-173.3,33.8,74,90,8.95,overcast clouds
91,busselton,AU,-33.65,115.33,75.99,52,0,1.99,clear sky
92,grants,US,35.15,-107.85,55.4,56,1,20.8,clear sky
93,nouadhibou,MR,20.93,-17.03,75.2,64,0,21.92,clear sky
94,pevek,RU,69.7,170.31,25.45,98,100,5.12,light snow
95,katobu,ID,-4.94,122.53,94.19,42,49,1.28,scattered clouds
96,saint george,US,37.1,-113.58,48.2,36,75,27.51,broken clouds
97,tiksi,RU,71.69,128.87,5.59,90,100,27.45,overcast clouds
98,edd,ER,13.93,41.69,82.58,40,19,11.52,few clouds
99,tual,ID,-5.67,132.75,82.44,72,100,8.52,overcast clouds
100,rawson,AR,-43.3,-65.1,59.16,35,14,20.18,few clouds
101,tazovskiy,RU,67.47,78.7,3.76,94,8,8.93,clear sky
102,tongliao,CN,43.61,122.27,55.31,38,100,9.19,overcast clouds
103,zasosna,RU,50.63,38.4,43.84,86,29,0.76,scattered clouds
104,saskylakh,RU,71.92,114.08,8.55,93,100,9.71,overcast clouds
105,evensk,RU,61.95,159.23,34.61,86,100,14.43,overcast clouds
106,namatanai,PG,-3.67,152.43,82.09,76,100,7.67,moderate rain
107,masterton,NZ,-40.96,175.66,66.99,83,90,4.0,overcast clouds
108,sebinkarahisar,TR,40.29,38.42,48.33,50,0,1.72,clear sky
109,damara,CF,4.96,18.7,75.2,94,75,0.98,broken clouds
110,nagai,JP,38.1,140.03,62.01,76,75,13.87,broken clouds
111,roald,NO,62.58,6.13,51.01,70,98,5.82,overcast clouds
112,guerrero negro,MX,27.98,-114.06,68.68,70,67,16.44,broken clouds
113,kharovsk,RU,59.96,40.19,29.57,98,46,3.91,scattered clouds
114,te anau,NZ,-45.42,167.72,55.54,57,100,3.22,overcast clouds
115,santa rosa,PH,14.31,121.11,80.6,88,90,14.99,moderate rain
116,rio grande,BR,-32.03,-52.1,71.01,89,100,7.0,moderate rain
117,hilo,US,19.73,-155.09,84.2,62,1,10.29,clear sky
118,lebu,CL,-37.62,-73.65,46.89,79,5,4.07,clear sky
119,cooma,AU,-36.23,149.13,44.6,87,75,12.75,moderate rain
120,araxa,BR,-19.59,-46.94,63.88,95,0,2.28,clear sky
121,harper,LR,4.38,-7.72,77.4,90,17,6.67,light rain
122,iqaluit,CA,63.75,-68.51,15.8,85,90,4.7,light snow
123,mandalgovi,MN,45.76,106.27,26.51,82,3,14.2,clear sky
124,port lincoln,AU,-34.73,135.87,57.0,61,69,16.4,broken clouds
125,kruisfontein,ZA,-34.0,24.73,62.01,94,100,7.0,light rain
126,kodiak,US,57.79,-152.41,48.2,93,90,7.09,mist
127,praya,CV,14.92,-23.51,80.6,69,0,18.34,clear sky
128,safranbolu,TR,41.25,32.69,61.05,35,100,3.18,overcast clouds
129,bow island,CA,49.87,-111.37,12.0,60,20,11.41,few clouds
130,cabo san lucas,MX,22.89,-109.91,84.2,69,40,9.17,scattered clouds
131,barrow,US,71.29,-156.79,19.4,92,20,8.05,few clouds
132,alta floresta,BR,-9.88,-56.09,76.59,68,87,2.26,overcast clouds
133,ambajogai,IN,18.73,76.38,75.94,70,35,0.36,scattered clouds
134,camopi,GF,3.17,-52.32,73.96,93,97,2.33,overcast clouds
135,cayenne,GF,4.93,-52.33,77.0,100,75,8.39,broken clouds
136,khatanga,RU,71.97,102.5,6.33,95,97,10.16,light snow
137,ponta delgada,PT,37.73,-25.67,57.2,82,20,3.36,few clouds
138,santa isabel do rio negro,BR,-0.41,-65.02,73.63,93,100,0.27,moderate rain
139,beringovskiy,RU,63.05,179.32,31.01,92,0,1.63,clear sky
140,vanimo,PG,-2.67,141.3,77.43,89,100,5.17,moderate rain
141,durg,IN,21.18,81.28,77.0,57,0,1.88,clear sky
142,saint-philippe,RE,-21.36,55.77,69.8,68,0,5.82,clear sky
143,flinders,AU,-34.58,150.86,60.8,55,75,21.92,broken clouds
144,kismayo,SO,-0.36,42.55,78.55,83,100,7.87,overcast clouds
145,chokurdakh,RU,70.63,147.92,6.51,91,0,9.22,clear sky
146,ataco,CO,3.59,-75.38,73.87,77,98,3.47,overcast clouds
147,airai,TL,-8.93,125.41,80.19,48,71,2.8,broken clouds
148,ribeira grande,PT,38.52,-28.7,65.84,83,99,13.47,overcast clouds
149,englewood,US,39.65,-104.99,12.0,85,90,10.29,snow
150,abalak,RU,58.13,68.59,33.67,99,100,2.82,overcast clouds
151,tuatapere,NZ,-46.13,167.68,55.99,53,39,5.01,scattered clouds
152,port alfred,ZA,-33.59,26.89,63.61,88,94,7.9,light rain
153,tasiilaq,GL,65.61,-37.64,33.8,59,100,21.92,light snow
154,dillon,US,34.42,-79.37,62.01,100,90,8.05,overcast clouds
155,bredasdorp,ZA,-34.53,20.04,60.8,87,100,13.87,overcast clouds
156,lasa,IT,46.62,10.7,52.0,93,75,6.93,broken clouds
157,barrancas,CO,10.96,-72.79,74.48,90,54,1.32,broken clouds
158,voloshka,RU,61.33,40.09,27.48,98,9,3.29,clear sky
159,wamba,NG,8.93,8.6,71.67,76,99,2.91,overcast clouds
160,talnakh,RU,69.49,88.4,10.4,85,75,11.18,light snow
161,mabay,PH,6.06,124.47,86.0,66,75,2.24,broken clouds
162,cap-aux-meules,CA,47.38,-61.86,39.2,51,75,18.34,broken clouds
163,conceicao do araguaia,BR,-8.26,-49.26,76.51,84,100,2.19,overcast clouds
164,angoche,MZ,-16.23,39.91,75.22,88,5,4.56,clear sky
165,springbok,ZA,-29.66,17.89,55.87,58,10,2.68,clear sky
166,tricase,IT,39.93,18.36,53.6,100,0,3.36,clear sky
167,nelson bay,AU,-32.72,152.15,61.0,100,90,21.92,heavy intensity rain
168,nemencine,LT,54.85,25.48,48.0,100,90,11.41,overcast clouds
169,sitka,US,57.05,-135.33,42.8,81,90,12.75,heavy intensity rain
170,ancud,CL,-41.87,-73.82,48.0,93,90,8.05,overcast clouds
171,aksarka,RU,66.56,67.8,13.55,96,100,12.73,light snow
172,ulladulla,AU,-35.35,150.47,60.8,55,75,21.92,broken clouds
173,nishihara,JP,26.18,127.76,80.6,41,40,8.05,scattered clouds
174,puro,PH,12.48,123.38,78.94,86,100,16.64,light rain
175,jeremie,HT,18.65,-74.12,80.82,77,100,8.52,overcast clouds
176,kirillov,RU,59.86,38.38,31.15,98,45,3.09,scattered clouds
177,victoria,HK,22.29,114.16,79.0,69,84,5.01,broken clouds
178,krasnyy kut,RU,50.95,46.97,38.86,76,1,10.2,clear sky
179,singaraja,ID,-8.11,115.09,88.23,60,52,3.27,broken clouds
180,kieta,PG,-6.22,155.63,84.4,71,98,5.75,light rain
181,pisco,PE,-13.7,-76.22,63.0,82,0,14.99,clear sky
182,luxor,EG,25.7,32.64,69.8,56,0,3.36,clear sky
183,hobyo,SO,5.35,48.53,79.23,83,27,3.36,scattered clouds
184,souillac,MU,-20.52,57.52,73.4,73,75,14.99,broken clouds
185,leningradskiy,RU,69.38,178.42,25.12,95,97,5.77,overcast clouds
186,broken hill,AU,-31.95,141.43,60.8,44,40,13.87,scattered clouds
187,klaksvik,FO,62.23,-6.59,42.8,93,1,10.29,clear sky
188,zhezkazgan,KZ,47.8,67.71,46.62,56,100,16.17,light rain
189,san rafael,AR,-34.62,-68.33,60.26,33,0,5.93,clear sky
190,dunedin,NZ,-45.87,170.5,50.0,72,100,3.0,overcast clouds
191,fengcheng,CN,40.45,124.07,59.02,56,88,3.38,overcast clouds
192,hamilton,US,39.18,-84.53,52.0,76,90,4.0,overcast clouds
193,whittlesea,ZA,-32.18,26.82,55.65,72,99,3.74,overcast clouds
194,vardo,NO,70.37,31.11,35.71,83,100,22.48,overcast clouds
195,antofagasta,CL,-23.65,-70.4,57.2,76,90,3.36,overcast clouds
196,thinadhoo,MV,0.53,72.93,82.98,69,15,7.29,few clouds
197,moree,AU,-29.47,149.85,75.2,41,75,9.98,broken clouds
198,pak phanang,TH,8.35,100.2,83.55,67,49,2.39,scattered clouds
199,ahipara,NZ,-35.17,173.17,69.01,65,6,5.64,clear sky
200,huilong,CN,31.81,121.66,72.0,67,46,3.0,scattered clouds
201,longyearbyen,SJ,78.22,15.64,26.6,86,75,4.7,broken clouds
202,breves,BR,-1.68,-50.48,78.73,80,12,5.19,few clouds
203,thompson,CA,55.74,-97.86,23.0,73,90,3.36,light snow
204,amahai,ID,-3.33,128.92,84.74,65,75,4.18,broken clouds
205,sangar,RU,63.92,127.47,19.13,90,100,2.59,overcast clouds
206,meulaboh,ID,4.14,96.13,83.32,69,98,1.41,overcast clouds
207,jacobina,BR,-11.18,-40.52,72.48,76,88,2.35,overcast clouds
208,deputatskiy,RU,69.3,139.9,3.99,90,2,7.29,clear sky
209,sao joao da barra,BR,-21.64,-41.05,70.3,88,42,8.34,scattered clouds
210,beloha,MG,-25.17,45.05,70.25,70,88,3.13,overcast clouds
211,poronaysk,RU,49.22,143.12,45.9,63,99,14.38,overcast clouds
212,castro,BR,-24.79,-50.01,59.88,98,20,5.91,few clouds
213,saldanha,ZA,-33.01,17.94,55.4,87,0,6.93,clear sky
214,millington,US,35.34,-89.9,53.01,100,90,3.36,mist
215,narsaq,GL,60.92,-46.05,44.6,33,100,11.41,overcast clouds
216,ribeira brava,PT,32.65,-17.07,66.2,63,20,4.7,few clouds
217,mahebourg,MU,-20.41,57.7,73.4,73,75,14.99,broken clouds
218,ostrovnoy,RU,68.05,39.51,27.18,95,100,8.05,overcast clouds
219,waipawa,NZ,-41.41,175.52,64.4,77,77,24.16,light rain
220,houston,US,29.76,-95.36,75.2,94,90,10.29,mist
221,sur,OM,22.57,59.53,76.5,56,0,6.29,clear sky
222,cherlak,RU,54.16,74.81,43.39,86,100,11.01,overcast clouds
223,portland,US,45.52,-122.68,42.8,33,1,7.96,clear sky
224,sept-iles,CA,50.2,-66.38,30.99,62,5,4.7,clear sky
225,merauke,ID,-8.47,140.33,84.65,66,58,11.88,broken clouds
226,arlit,NE,18.74,7.39,73.47,20,0,6.31,clear sky
227,luderitz,NA,-26.65,15.16,62.65,62,9,20.92,clear sky
228,alenquer,BR,-1.94,-54.74,77.0,83,20,3.36,few clouds
229,cabedelo,BR,-6.98,-34.83,77.0,88,40,3.36,scattered clouds
230,xichang,CN,27.9,102.26,62.58,78,94,0.85,moderate rain
231,zhanaozen,KZ,43.3,52.8,53.64,87,78,7.92,broken clouds
232,bridlington,GB,54.08,-0.19,44.6,87,49,12.75,scattered clouds
233,carahue,CL,-38.7,-73.17,42.8,87,20,3.36,few clouds
234,botro,CI,7.85,-5.31,77.0,83,85,2.24,overcast clouds
235,leninskoye,KZ,41.76,69.39,46.4,41,96,4.7,overcast clouds
236,mwanza,TZ,-2.52,32.9,70.05,79,100,2.08,light rain
237,goussainville,FR,49.03,2.47,48.2,87,20,11.41,few clouds
238,san cristobal,VE,7.77,-72.22,65.86,88,33,1.1,scattered clouds
239,santa quiteria do maranhao,BR,-3.52,-42.55,76.44,89,27,3.33,scattered clouds
240,coihaique,CL,-45.58,-72.07,46.4,65,74,5.82,light rain
241,asau,RO,46.43,26.4,53.01,98,99,2.17,light rain
242,talhar,PK,24.88,68.82,77.05,36,0,7.38,clear sky
243,cajati,BR,-24.74,-48.12,67.73,93,72,1.77,broken clouds
244,bengkulu,ID,-3.8,102.27,83.37,64,100,3.98,overcast clouds
245,kasongo-lunda,CD,-6.47,16.82,70.74,93,100,0.31,overcast clouds
246,agudos,BR,-22.47,-48.99,69.01,75,3,3.0,clear sky
247,lakes entrance,AU,-37.88,147.98,62.01,57,73,5.99,light rain
248,severo-kurilsk,RU,50.68,156.12,44.55,89,100,5.91,light rain
249,quatre cocos,MU,-20.21,57.76,73.99,73,75,14.99,broken clouds
250,sortland,NO,68.69,15.42,39.2,86,100,16.11,moderate rain
251,poya,NC,-21.35,165.15,83.3,50,0,7.36,clear sky
252,komsomolskiy,UZ,40.43,71.72,46.4,52,2,9.17,clear sky
253,shingu,JP,33.73,135.98,68.0,49,20,8.05,few clouds
254,margate,GB,51.38,1.39,51.01,66,58,5.01,light rain
255,pirgos,GR,35.12,25.72,66.99,79,100,4.0,overcast clouds
256,bethel,US,41.37,-73.41,46.99,65,90,10.29,overcast clouds
257,jiazi,CN,22.88,116.07,75.94,64,89,17.22,overcast clouds
258,kudahuvadhoo,MV,2.67,72.89,82.29,75,86,8.79,overcast clouds
259,lake city,US,30.19,-82.64,73.4,88,75,3.65,broken clouds
260,gornopravdinsk,RU,60.05,69.9,32.86,97,100,5.79,overcast clouds
261,guarapari,BR,-20.67,-40.5,71.6,94,75,2.24,broken clouds
262,vysokogornyy,RU,50.12,139.15,35.2,83,46,9.37,scattered clouds
263,mitsamiouli,KM,-11.38,43.28,78.94,76,1,14.88,clear sky
264,carnarvon,AU,-24.87,113.63,77.0,69,40,19.46,scattered clouds
265,taipu,BR,-5.62,-35.6,77.0,88,40,5.82,scattered clouds
266,umm kaddadah,SD,13.6,26.69,75.83,25,0,16.35,clear sky
267,timmins,CA,48.47,-81.33,26.6,100,90,4.7,light snow
268,colares,PT,38.8,-9.45,59.0,75,68,18.19,broken clouds
269,eenhana,NA,-17.47,16.33,77.0,31,37,4.7,scattered clouds
270,flin flon,CA,54.77,-101.86,20.88,92,0,4.45,clear sky
271,shimoda,JP,34.67,138.95,69.8,60,75,9.17,broken clouds
272,san carlos de bariloche,AR,-41.15,-71.31,44.6,56,40,25.28,scattered clouds
273,lata,PT,40.16,-8.33,57.0,90,38,2.98,scattered clouds
274,zhoukou,CN,33.63,114.63,67.46,37,99,2.57,overcast clouds
275,touros,BR,-5.2,-35.46,77.0,88,40,5.82,scattered clouds
276,haines junction,CA,60.75,-137.51,27.1,94,100,2.37,light snow
277,trelew,AR,-43.25,-65.31,59.25,33,11,18.1,few clouds
278,jalu,LY,29.03,21.55,62.56,88,0,5.55,clear sky
279,klyuchi,RU,52.27,79.17,42.4,79,100,14.27,light rain
280,rapid valley,US,44.06,-103.15,10.4,66,90,12.75,light rain
281,samarkand,UZ,39.65,66.96,46.4,52,0,6.93,clear sky
282,imbituba,BR,-28.24,-48.67,71.6,94,75,6.93,broken clouds
283,amboise,FR,47.41,0.98,46.4,93,0,8.05,clear sky
284,kaitangata,NZ,-46.28,169.85,53.01,59,96,8.99,overcast clouds
285,chongwe,ZM,-15.33,28.68,65.68,39,3,3.96,clear sky
286,kayes,ML,14.0,-11.0,76.55,20,1,3.6,clear sky
287,bennington,US,42.88,-73.2,37.0,74,75,4.54,broken clouds
288,najran,SA,17.49,44.13,55.4,22,0,1.88,clear sky
289,geraldton,AU,-28.77,114.6,75.2,47,0,16.11,clear sky
290,adrar,MR,20.5,-10.07,84.07,14,50,7.78,scattered clouds
291,fort nelson,CA,58.81,-122.7,28.4,54,90,5.82,overcast clouds
292,binzhou,CN,37.37,118.02,75.0,34,0,3.58,clear sky
293,plonsk,PL,52.62,20.38,52.0,100,90,8.05,mist
294,kimbe,PG,-5.55,150.14,84.36,79,46,4.61,moderate rain
295,kamenka,RU,51.32,42.77,39.0,94,22,3.91,few clouds
296,katsuura,JP,35.13,140.3,72.0,68,40,4.7,scattered clouds
297,lucapa,AO,-8.42,20.74,66.02,98,92,1.5,overcast clouds
298,hokitika,NZ,-42.72,170.97,59.14,97,100,8.19,overcast clouds
299,lagoa,PT,39.05,-27.98,64.92,78,100,12.71,overcast clouds
300,kirkwall,GB,58.98,-2.96,48.2,81,4,12.75,clear sky
301,bolgatanga,GH,10.79,-0.85,77.81,36,11,1.63,few clouds
302,hay river,CA,60.82,-115.8,28.4,79,75,10.29,broken clouds
303,victor harbor,AU,-35.57,138.62,60.01,66,41,1.99,scattered clouds
304,berdigestyakh,RU,62.1,126.7,22.55,88,100,9.04,overcast clouds
305,micheweni,TZ,-4.97,39.83,77.74,84,75,8.03,light rain
306,san jose,US,37.34,-121.89,63.0,29,0,4.23,clear sky
307,urazovo,RU,50.08,38.04,44.19,85,97,2.24,overcast clouds
308,kutum,SD,14.2,24.67,65.61,31,0,7.18,clear sky
309,hofn,IS,64.25,-15.21,41.72,68,67,13.31,broken clouds
310,arrifes,PT,37.77,-25.7,57.2,82,20,3.36,few clouds
311,tignere,CM,7.37,12.65,64.13,82,15,0.89,few clouds
312,esperance,AU,-33.87,121.9,73.4,35,0,24.16,clear sky
313,oranjestad,AW,12.52,-70.03,84.2,74,20,19.46,few clouds
314,jha jha,IN,24.77,86.37,77.54,45,1,4.34,clear sky
315,kargasok,RU,59.06,80.86,26.82,98,98,11.05,light snow
316,barabinsk,RU,55.36,78.36,38.16,99,100,6.31,overcast clouds
317,debre sina,ET,9.85,39.77,47.5,66,15,1.7,few clouds
318,iranshahr,IR,27.2,60.68,53.6,22,0,1.52,clear sky
319,upernavik,GL,72.79,-56.15,14.13,78,53,5.88,broken clouds
320,tessalit,ML,20.2,1.01,75.65,17,0,8.9,clear sky
321,bom jardim,BR,-7.8,-35.59,68.47,98,42,5.08,scattered clouds
322,takaka,NZ,-40.85,172.8,61.0,91,100,5.99,overcast clouds
323,batsfjord,NO,70.63,29.72,32.49,92,100,23.29,overcast clouds
324,quelimane,MZ,-17.88,36.89,77.0,88,20,5.82,few clouds
325,lincoln,US,40.8,-96.67,27.0,86,90,19.46,light snow
326,tautira,PF,-17.73,-149.15,82.4,74,40,4.7,shower rain
327,nuevo progreso,MX,23.17,-97.95,77.0,66,0,1.01,clear sky
328,luganville,VU,-15.53,167.17,84.2,74,40,8.05,scattered clouds
329,oksfjord,NO,70.24,22.35,33.8,86,90,27.51,light rain
330,sao jose da coroa grande,BR,-8.9,-35.15,76.66,84,83,12.71,broken clouds
331,tottori,JP,35.5,134.23,66.2,59,20,5.82,few clouds
